	MLS16-13969-A2	MLS16-14353-A2	MS13-12480-B1	MS13-13904-A4	MS13-22090-A7	MS13-3651-B1	MS14-15702-A2	MS15-18215-A2	MS16-1383-A7	MS16-4507-A2	MS16-8096-A1	MLS16-24883-D1	MLS16-23390-C5	MS13-18727-C13	MS14-3317-I15	MLS16-16541-I8	MLS16-16928-H2	MLS16-21013-B4	MS16-4698-H30	MLS16-23752-C7	MLS16-24950-K3	MLS17-8288-I16	MLS17-10990-N9	MS14-10799-C14	MS15-19663-H15	MLS16-23764-D6	MS14-18376-B4	MS13-6884-K7	MS13-23696-G11	MS14-18625-N20	MLS17-12838-G5	MS13-17959-C23	MS16-460-G11	MLS16-18386-I8	MS13-14140-A16	MS14-4637-C7	MLS17-04999-F7	MS13-13729-A16	MS15-16859-A8	MLS17-06946-B5	SRH14-3861-E3-1909-113	NS-15-04293-A3-1909-114	SRH16-8466-B1-1909-117	RS16-4672-A1-1909-119	S16-11828-1909-121	13-304-V81-0016-0-1909-122	CHY-12-002872-1909-124	C516-5623A3-1909-125	D513-009920-1909-126	S12-25296-2-1909-127	S14-7061-2A-1909-129	S16-10584-A1-1909-130	S16-6579-A1-1909-131	SG12-8188-2C-1909-133	SRH16-2144-3-1909-135	SU13-00927-A1-1909-136	SU13-05653-A6-1909-137	SU-16-04064-A4-1909-138	SZB15-119-1A-1909-139
PPFIBP2	0	7.329399022	5.240577486	4.515464056	6.49819503	4.667012475	3.072017328	4.521672041	4.90340947	2.766755832	6.444979996	4.733991154	4.311241893	0	4.675695173	0	3.886473115	5.949372316	4.633365166	2.434950664	2.674010932	0	3.497774078	0	5.933203047	6.69515513	6.497287435	5.816676213	6.470490492	2.183075407	6.579944239	0	3.962091437	6.643835343	3.038026832	4.986124475	3.687555466	5.543895871	4.656667043	0	3.921482679	3.524969476	4.59586928	6.59202572	5.904171751	0	6.303538364	7.371581754	6.329135565	6.25814812	4.226260037	7.341553615	5.507648507	3.652692669	7.488774582	5.524820274	5.090987306	6.767041676	6.108227684
FAM174B	5.858320888	5.316751609	6.943029525	2.989730812	8.625614833	4.217184408	3.523156613	7.356105551	4.564683109	3.783736092	5.799118488	6.262641322	3.461442147	0	6.92137358	4.912635546	3.523093262	5.542096305	4.921984887	5.803443303	4.414252491	7.458427286	7.256160799	4.03948929	6.094820637	7.494420131	6.594783752	6.287144525	6.318536224	5.839602519	7.032361919	4.974738797	6.722084806	7.407763566	8.058710224	5.025874918	4.925918605	6.449426582	3.666862555	8.41219723	6.644828346	5.318010655	6.843524668	7.817346649	6.494527823	4.569216914	5.780154785	7.068991884	6.643826836	7.728936037	4.673242709	7.254917371	6.127585285	7.473072466	8.374200612	7.688594673	5.660104116	7.616582689	2.753619943
PRKCDBP	6.912376883	6.124667676	7.446089534	7.789695681	5.668458567	5.717674104	8.044594617	7.87757973	6.717391072	8.851677771	7.098237348	4.830864475	7.612573636	8.995540694	8.020114742	8.457995314	7.604859872	8.776185864	6.885843976	8.499534486	7.007683878	8.50365005	8.275603005	8.113247067	6.551153749	7.050006933	5.938648758	7.468638233	7.309469726	6.82194209	7.222177531	8.93107151	7.700042103	6.952287491	7.640881662	7.489465061	7.598880049	5.87529436	7.114130449	7.130487002	7.924857173	6.812741897	5.181499774	4.071207648	6.227729075	8.987179905	6.457783012	5.323253081	6.371609678	4.416542818	6.529308413	6.306687276	5.728541151	6.313261915	4.045944285	4.764798738	6.206129751	5.859044522	6.017586112
FAP	5.924304268	4.863263084	3.417653413	6.397787437	3.235699169	3.128250059	3.269691237	4.623512253	5.610726767	6.783302746	6.59021798	5.216194392	5.606446681	0	4.451157132	5.699315	7.065579684	6.815219472	7.328850908	2.675114419	6.131980274	4.110002047	4.740963457	5.602415705	3.981388314	6.311589361	5.984816925	4.294753066	5.785630914	4.313712456	4.742565012	3.953955422	6.628883604	5.12144306	4.899885031	6.077931254	5.518131944	3.338386594	4.12286831	3.56563089	3.921482679	7.138393531	4.88253422	2.83584811	6.279911507	4.367276611	5.333125912	5.585641951	5.429702422	3.150306012	4.598713639	4.72442587	5.391719521	4.501029998	2.384134236	1.85543671	5.516435223	4.386687769	4.174785997
UPK1A	0	8.72490145	11.72382789	1.357401668	6.937088236	3.128250059	3.174237226	8.059807718	6.983588543	5.603098565	6.538115557	1.57545247	2.398144576	8.967581738	6.259991974	0	0	6.790673389	3.899646869	7.094360395	0.875889756	6.765181394	10.79635841	0	6.857593188	12.5139934	9.217059715	7.749589239	7.929002594	0	7.032361919	5.693234431	2.358352949	9.29478598	10.53985011	6.320985602	4.529873877	6.788363824	1.875242904	11.18041843	10.62931622	5.818817651	7.079165696	8.902403036	9.693215477	6.134468975	5.189505126	12.5729009	10.25171123	9.194758867	1.999061999	7.01512403	5.790893734	10.84998165	9.365507448	9.972569533	6.73079578	10.36335218	2.22850903
RAB15	6.912376883	6.262482625	6.276489197	3.717067801	7.584562899	4.330894266	5.619461368	6.52933521	6.448500626	4.730386431	7.296303102	4.051222192	3.848285591	4.925506166	6.700720258	4.969612013	3.598566717	5.857818553	4.939319153	5.292707142	4.511368155	7.458427286	6.717672237	5.050511026	6.164669435	7.099319994	6.220124586	5.743325622	6.518916337	5.089636015	6.112596989	5.733101678	5.836396466	7.763146537	6.793146397	5.144978503	5.012335545	5.426500895	5.063251167	8.250429876	6.107100641	5.174926102	6.27311672	7.704037064	6.637137875	5.046229362	6.426090587	7.615716367	6.616202594	6.54758739	4.965397662	7.277748753	6.383134402	7.513375324	7.944636337	7.607620319	5.989647099	7.396444833	5.719639296
PPARG	6.161652894	7.795873044	8.799568365	2.550969696	8.724318411	3.803732669	4.717853947	6.937930519	5.753142054	4.374314555	7.66275337	3.41107486	4.547649156	7.110107464	7.612823058	5.441823088	3.036207699	6.344576488	4.973375102	6.889135514	5.389630024	7.983842875	7.033316832	4.03948929	7.919064913	7.61376678	7.246394533	6.339703192	7.575410054	7.50463226	7.166928459	6.573392388	5.38294667	7.436409253	8.620250868	5.742368964	5.797703622	5.287033045	2.567231115	9.351432473	7.783741767	5.023861905	6.518241071	7.764352446	6.965367528	4.746330357	7.643464704	7.890491975	7.878250462	6.383564138	6.90414664	8.44552725	7.364249485	9.480247702	8.475835079	9.064631911	6.002857373	7.623440616	3.137774013
CHST15	6.811373355	5.015445495	5.084595205	5.622217058	3.36434937	4.958609742	5.525892305	5.40005464	5.712694514	7.179737907	5.610170086	6.88064977	5.932912539	6.698546721	5.341208546	6.783965737	6.564426105	5.88125742	5.355523853	5.828525125	5.327642978	7.012434038	5.911776182	7.228950651	4.214821278	5.159893902	6.316544013	5.348273973	5.43892791	6.101742023	5.368802648	6.719475997	6.507589221	5.180695114	5.674442301	6.600885189	6.377617174	5.391516074	5.770246448	4.716660569	6.031082283	5.160865196	5.239037443	3.609378392	4.507671098	7.237199424	5.724787985	4.060900149	5.416950521	4.543267072	6.104675873	4.913569078	6.256282945	4.891920908	2.690178658	4.192418595	6.097025914	5.790013557	6.015675673
SEMA5A	7.205613128	7.989913218	6.77456941	3.945538391	5.285365383	2.931514472	3.174237226	4.78099782	5.556906422	5.532470063	6.171638476	4.534761497	5.201246193	5.494556806	4.582652321	5.630313293	4.91766535	4.950541743	4.755823783	4.948263198	5.012181382	5.515261754	6.588571659	4.876937581	8.330310684	7.765316075	7.619362085	5.821964075	6.920175698	4.163425807	6.833826945	5.161637373	5.697943397	6.534518665	6.05196706	6.109107227	5.994535986	4.635570282	3.712759945	7.533599973	7.33022763	4.571332235	6.001114974	7.076786689	7.344483302	5.133778533	4.690887926	8.204441679	7.544823942	5.626772092	4.105852021	7.393486539	5.803911476	7.358271755	5.299109678	8.347435241	6.332887153	6.15437397	3.297255856
SPINK1	6.62552933	7.440067045	10.53614914	3.945538391	11.7581156	6.022437997	0	9.498435266	6.541501281	5.297118112	9.89395017	4.234394429	6.178574052	7.38837135	11.29901003	0	1.956550181	9.491988564	5.768206364	6.068496184	2.542320114	0	11.39594141	3.15877362	9.957707049	11.6629325	12.24590056	9.675578108	11.91150733	0	12.12689704	0	4.435577275	7.645394065	8.6108863	8.219411279	7.641684231	9.855650669	1.704019706	5.688962433	9.894889156	7.775497827	5.922515974	10.07625238	12.20602549	6.369037767	10.65019833	13.09871473	11.72030308	7.395510685	2.430031032	13.23336299	10.41712425	11.25722926	11.43467617	11.94691904	9.675589648	12.75759084	2.842523152
FAM59A	5.640067223	4.379685735	4.540886395	3.827025289	3.626258082	2.767189286	2.713060803	3.758704068	3.589077571	4.291192827	4.149431607	3.463814251	5.67459344	5.778233503	4.98068965	3.715147541	2.8428327	3.974833332	5.467292489	4.43082981	4.682742538	5.578019965	4.432460541	3.925219291	5.799873853	5.620293207	5.50130683	5.419768685	5.127076752	4.065114916	5.887585256	5.475481715	5.04098049	6.037860076	4.201451364	4.859846346	5.212189984	4.784065186	4.4953338	3.56563089	4.329543937	4.698449624	4.447553928	5.443503769	4.464595157	3.364925053	3.967390545	5.188503987	5.195916045	4.538848748	4.041657031	4.59077898	4.147924578	3.915854742	5.146155084	4.708114495	3.816905116	4.860656077	4.384735133
AHNAK2	5.987401347	1.736130351	4.710595166	8.448644774	4.730765849	6.807272069	7.790720941	5.942087845	5.72900986	6.552932277	4.619487491	5.52414459	7.014408023	7.691584809	6.815261299	6.783965737	6.625845098	5.077723467	7.5705019	4.643634716	7.165213321	6.173349015	6.030152051	7.076678023	6.300625652	6.115806629	1.935695904	6.449687738	5.263261094	6.515660114	7.332994992	6.595189145	6.45877499	6.440680033	4.940323862	5.408236885	6.653379834	4.999553527	8.534141078	5.06698597	5.576014335	6.788940425	4.76209709	2.525620064	3.829456252	7.227281739	3.285936639	3.827834634	4.185474023	5.144278044	2.953106961	4.740293708	3.004607119	3.330573051	2.419582319	1.85543671	4.300435777	4.029990778	8.959975362
TMPRSS2	6.501326145	9.100346847	8.280551821	3.697898289	7.473054211	3.581386744	6.450287215	6.586715214	7.370429118	2.994020184	7.682088651	5.639438843	3.34079492	5.778233503	6.867776806	0	0	6.41853259	3.584159389	2.675114419	0	0	6.930514141	2.683981584	7.236478453	7.2803773	8.363496936	6.167625321	7.427421902	0	6.652132168	0	4.791470515	5.794043869	6.560002068	5.838513302	4.895923074	9.890041036	5.753875042	6.084242314	6.261451914	4.863815931	6.800218299	7.268505697	7.811128704	0	4.912920739	8.12485922	8.451039402	5.851830943	2.642805587	7.151909865	7.153279852	7.143960518	7.480930707	8.391976314	7.618088365	7.248146533	6.162764168
C10orf116	0	2.326306055	3.764668095	1.451970376	3.13107507	1.267806776	0	3.551697582	1.555057352	3.190308443	0	2.795116186	3.185968451	5.328626253	3.515648218	0	0	2.842836578	2.993210073	2.675114419	2.851429201	4.270613844	0	2.371295056	3.378641445	3.297431183	2.733626006	3.30735145	4.308239051	0	3.631693377	5.218917931	3.16679615	2.721266108	4.098004464	2.31738488	3.514113177	3.64298936	2.292873296	4.716660569	3.13485633	1.591991222	2.589843379	3.351831276	2.667521274	0	2.361226913	2.838711455	3.506856172	2.86984789	1.439782736	3.438692914	2.811868165	4.366687395	2.108128516	3.920341769	2.209126008	2.596860749	0.678186349
